E.T. the Extra-Terrestrial (1982),5.0,3.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,0.0,2.0,5.0,0.0,1.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0
Dead Man Walking (1995),0.0,3.0,3.0,0.0,5.0,5.0,0.0,5.0,3.0,4.0,4.0,0.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,4.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,4.0,5.0,3.0,0.0,4.0,0.0,5.0,5.0,4.0,0.0,0.0,5.0,4.0,4.0,0.0,3.0,0.0,5.0,2.0,3.0,0.0,4.0,0.0
Schindler's List (1993),5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,5.0,4.0,0.0,3.0,0.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0,4.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,5.0,4.0
Leaving Las Vegas (1995),0.0,4.0,5.0,0.0,4.0,3.0,4.0,4.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,5.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,2.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,5.0,4.0,5.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
L.A. Confidential (1997),4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,5.0,5.0,3.0,2.0,5.0,0.0,5.0,4.0,0.0,0.0,3.0,5.0,0.0,5.0,5.0,4.0,3.0,0.0,4.0,0.0,0.0,4.0,5.0,0.0,3.0,5.0
Braveheart (1995),5.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,0.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,0.0,5.0,5.0,4.0,0.0,3.0,5.0,3.0,5.0,4.0,5.0,0.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,0.0,3.0
Terminator 2: Judgment Day (1991),3.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,0.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,0.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,0.0,4.0
Conspiracy Theory (1997),0.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,5.0,1.0,0.0,4.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0
"Birdcage, The (1996)",0.0,3.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,5.0,5.0,4.0,0.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,4.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0
Mr. Holland's Opus (1995),0.0,3.0,0.0,3.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,0.0,5.0,3.0,5.0,4.0,0.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,5.0,0.0,2.0,0.0,3.0,4.0,0.0
Twister (1996),0.0,2.0,4.0,3.0,3.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,3.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,0.0,4.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,3.0,0.0,4.0,3.0,4.0
Alien (1979),1.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,0.0,0.0,4.0,5.0,4.0,4.0,3.0,0.0
When Harry Met Sally... (1989),2.0,4.0,3.0,5.0,0.0,5.0,3.0,5.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0
Aliens (1986),1.0,2.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,0.0,2.0,4.0,3.0,0.0,4.0,5.0,4.0,4.0,2.0,0.0
"Shawshank Redemption, The (1994)",5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,0.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,0.0,5.0,0.0,5.0,5.0,4.0,0.0,3.0,5.0,5.0,4.0,0.0,0.0,5.0,2.0
Jaws (1975),5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,0.0,0.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,0.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0
Groundhog Day (1993),4.0,2.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,0.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,0.0,4.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,3.0,4.0,0.0,3.0,5.0,0.0
Apollo 13 (1995),4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,0.0,2.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0,0.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,0.0,4.0,4.0,0.0,5.0,2.0,5.0,4.0,0.0,4.0,0.0,4.0,0.0
