,CustomerID,recencia,frecuencia,monto,cluster
3151,16650.0,72,1,518.42,3
4127,17994.0,122,4,678.49,3
688,13261.0,269,2,944.1,1
3677,17383.0,4,1,199.29,3
4273,18200.0,106,1,163.8,3
3669,17373.0,40,4,646.92,3
1675,14628.0,91,2,671.96,3
2946,16363.0,53,1,109.36,3
1030,13739.0,18,1,216.9,3
2714,16045.0,120,4,1340.7,3
4248,18168.0,176,6,1169.94,3
3164,16668.0,15,6,306.71999999999997,3
527,13037.0,138,3,881.07,3
15,12362.0,3,10,5226.23,2
3831,17593.0,4,5,3927.34,3
1373,14215.0,12,6,1789.72,3
2541,15803.0,51,1,415.8200000000001,3
844,13481.0,46,5,1804.56,3
3522,17159.0,22,3,1538.88,3
3184,16696.0,135,4,657.9000000000001,3
1919,14971.0,35,3,1116.57,3
3805,17555.0,20,2,483.26,3
1462,14340.0,219,1,134.7,1
2202,15346.0,333,1,252.42,1
842,13477.0,38,6,1454.58,3
1489,14381.0,52,1,202.68,3
2692,16017.0,47,1,211.88,3
567,13094.0,21,12,1927.32,3
3806,17556.0,206,1,157.9,1
877,13517.0,60,3,2128.42,3
4004,17832.0,50,1,155.37,3
851,13488.0,17,13,8968.31,2
2791,16149.0,5,2,280.52,3
3536,17179.0,178,3,711.79,1
336,12759.0,52,3,1531.44,3
781,13385.0,330,1,534.57,1
1740,14714.0,24,1,160.19,3
3878,17655.0,11,7,2638.94,3
1716,14684.0,26,5,1236.28,3
2195,15335.0,54,1,173.97,3
3655,17356.0,312,1,178.22,1
3153,16653.0,16,2,1212.66,3
726,13311.0,4,2,598.57,3
2303,15484.0,1,4,3594.31,3
308,12724.0,5,4,1031.41,3
554,13077.0,1,4,729.27,3
927,13590.0,11,6,1981.92,3
191,12585.0,234,2,2040.1,1
2031,15120.0,134,1,358.82,3
3393,16969.0,39,3,650.41,3
332,12755.0,281,2,3811.95,1
2096,15208.0,1,5,870.12,3
537,13050.0,15,17,5836.86,2
3407,16990.0,219,1,179.0,1
4116,17977.0,29,1,288.14,3
1636,14569.0,1,1,227.39,3
1073,13802.0,139,3,4599.42,3
2403,15618.0,33,4,776.851,3
3730,17453.0,18,2,486.72,3
218,12616.0,95,2,713.3,3
1330,14152.0,75,2,621.29,3
881,13521.0,1,3,1093.65,3
137,12518.0,1,5,2056.89,3
4302,18235.0,72,3,1796.48,3
2996,16429.0,106,1,284.55,3
3925,17714.0,321,1,153.0,1
3451,17053.0,131,1,498.48,3
4178,18072.0,186,1,247.44,1
802,13419.0,64,1,221.06,3
1739,14713.0,9,11,2666.36,3
3332,16891.0,2,5,809.7,3
3937,17730.0,3,13,5298.4800000000005,2
2760,16112.0,143,4,195.74,3
3172,16679.0,366,1,129.75,1
2135,15255.0,67,1,890.85,3
2591,15865.0,41,3,895.13,3
3493,17115.0,8,3,837.5,3
3224,16747.0,38,2,836.06,3
2198,15342.0,130,1,406.09,3
3632,17324.0,18,4,990.23,3
3421,17015.0,29,3,1842.56,3
311,12727.0,11,7,3980.7,3
1154,13908.0,80,4,2369.55,3
2481,15721.0,12,1,507.08,3
4203,18105.0,38,1,113.48000000000002,3
3037,16483.0,192,1,139.35,1
2680,16005.0,12,4,615.39,3
1511,14411.0,311,1,1063.0,1
2564,15831.0,58,3,801.76,3
4311,18248.0,123,2,804.02,3
1885,14920.0,213,2,977.77,1
600,13138.0,22,6,962.39,3
4193,18092.0,2,11,9068.26,2
2634,15935.0,239,2,416.86,1
4169,18061.0,22,10,2119.41,3
490,12987.0,74,2,558.7,3
920,13579.0,15,2,467.04,3
139,12520.0,79,5,2634.26,3
1232,14020.0,17,2,642.8,3
1915,14966.0,15,1,191.32,3
4041,17881.0,304,1,133.35000000000002,1
1247,14039.0,33,1,152.2,3
4037,17877.0,170,1,237.61,3
2713,16043.0,38,4,773.99,3
1533,14439.0,320,1,2661.24,1
496,12994.0,4,3,974.42,3
33,12386.0,338,2,401.9,1
1351,14180.0,11,25,4748.52,2
3419,17011.0,30,1,270.9,3
3987,17800.0,37,9,1199.01,3
2710,16040.0,65,3,1313.55,3
4150,18032.0,334,1,73.5,1
2113,15227.0,37,5,1219.4,3
3663,17365.0,13,8,4801.56,3
3009,16447.0,136,1,259.01,3
3385,16959.0,87,1,117.35,3
3897,17678.0,264,1,298.11,1
630,13177.0,65,1,282.45,3
1649,14587.0,19,9,1601.14,3
1652,14592.0,35,3,570.46,3
390,12840.0,144,4,2726.77,3
1088,13817.0,29,2,382.98,3
3733,17456.0,365,1,249.86,1
521,13029.0,31,3,1247.5,3
237,12639.0,239,1,486.1,1
1203,13979.0,73,1,869.87,3
848,13485.0,233,1,454.24,1
176,12567.0,23,10,9401.28,2
1590,14511.0,11,5,1314.81,3
2824,16190.0,40,1,215.08,3
2841,16213.0,79,1,159.0,3
2464,15699.0,18,1,309.65,3
4024,17860.0,369,1,252.8,1
1226,14012.0,278,1,328.8,1
3822,17580.0,253,3,215.72,1
1722,14692.0,137,4,591.55,3
323,12743.0,134,2,546.43,3
3575,17235.0,25,2,550.06,3
3442,17044.0,25,1,948.48,3
2421,15643.0,192,3,664.0,1
